Customer ,Demand Segmentation
MICROSOFT CORPORATION,A
AT&T Mobility LLC,A
CISCO,A
Google Inc,A
The Boeing Company,A
Western Union Inc,B
INTEL CORP,A
Hamilton Sundstrand Corporation,A
"LiveTV, LLC",A
Verizon Wireless,A
"Thales Avionics, Inc",A
Others,B
Depuy International,A
Abbott Medical Optics Inc,B
Baxter Healthcare Corporation,A
T- Mobile,A
Go Daddy.com,B
CenturyLink,B
Sirius XM Radio Inc.,D
Becton Dickinson Holdings Pte Ltd.,C
Rockwell Collins,A
NCR Canada Limited,B
NS international,B
USAA,D
Siemens Product Lifecycle Manag Sof,C
TRW Automotive Inc.,D
Symantec Corporation,C
"Calix, Inc.",D
Ann Taylor,D
SIEMENS Corporation,B
Alcatel-Lucent International,C
TK Holdings Inc,D
Ethicon Endo-Surgery,D
"Applied Materials, Inc",C
Ericsson AB,D
Magna Electronics Inc.,C
Abbott Laboratories,C
Parker Aerospace,D
KLA-TENCOR CORPORATION,C
HCL Technologies Ltd.,C
Harris Corporation,D
"Infor Global Solutions (GA), Inc",D
Crane Aerospace,C
Manitowoc Foodservices Companies LL,D
Staples Inc,A
"AIXTRON Inc.,",C
CMC Electronics Inc.,A
HEWLETT PACKARD,A
"Nest Labs, Inc",A
Zodiac Inflight Innovations,A
Facebook Inc,C
Meggitt,C
Medtronic Inc,C
Teradyne Inc,C
Hospira,C
"ABIOMED, INC",C
Animas Corporation,C
Xerox Corporation,C
GE Oil & Gas,D
Bombardier Aerospace,C
Trimble Navigation Limited,C
BOSTON SCIENTIFIC CORPORATION,A
"BJ's Wholesale Club, Inc",C
Advanced Sterilisation Products Div,C
St.Jude Medical Inc,C
Monogram Systems,C
Comcast Cable Communications Manage,C
"Synopsys, Inc.",A
Biosense Webster Inc,D
Vexata Inc.,C
Panasonic Factory Solutions Company,C
"Axcelis Technologies, Inc",C
Eaton Corporation,C
Turner Broadcasting System Inc.,C
Siemens Manufacturing Limited,C
GE Aviation,C
Ford Motor Co,C
The IMS Company,C
"Brocade Communications Systems, Inc",C
Genesys Aerosystems,A
LEGO System A/S,C
D+H Limited Partnership,C
Johnson Controls Inc,C
"ModelN, Inc",C
GEICO,C
AmerisourceBergen Corporation,C
NetApp Inc,C
Technicolor USA Inc.,C
Agilent Technologies,C
IXI Technology,C
Vmware,C
Juniper Networks Inc.,C
Schneider Electric,C
Acxiom Corporation,C
"Celestica, Inc",C
Teachers Insurance and Annuity,C
Samsung Telecommunications America,C
"Veeco Instruments Inc.,",C
NCR Corporation,C
EMC Corporation,C
AERONAUTICAL DEVELOPMENT AGENCY,C
Endo Pharmaceuticals Inc.,C
Nutanix Inc,C
Box,C
"Sabtech Industries, Inc.",C
Gigamon,C
Micron Technology Inc.,C
CNH America LLC,C
"Pride Capital Partners, LLC",C
"Accudyne Industries, LLC.",C
CEB Inc,C
Electrolux Appliances AB,C
Manchester United,C
Schneider Electric Industries SAS,C
NEC HCL System Technologies Ltd,C
Whirlpool Corp,C
"Nabtesco Aerospace, Inc",C
Sprint Corporation,C
Telegraph media group,C
Gulfstream Aerospace Corporation,C
TransEnterix Italia S.r.L,C
Stanley Security Solutions,C
"Velodyne Acoustics, Inc.",C
S-Tec Corporation,C
KLX Inc.,C
McAfee Inc,C
Nanometrics Inc,C
"CIeNET International, LLC",C
Yahoo! Inc.,C
"Ethicon, Inc",C
DOW CORNING CORPORATION,C
BAE Systems,C
Sabre Holdings,C
Norriseal Wellmark,C
JCB India Limited,C
BROTHER INDUSTRIES LTD,C
VDL Enabling Technologies Group,C
"Physio-Control, Inc.",C
AbbVie,C
GKN Sinter Metals Ltd.,C
"Woodward , Inc.",C
"Liaison Technologies, Inc.",C
"Opnext Subsystems, Inc",C
Biogen Idec Inc,C
Johnson & Johnson,C
TERUMO CARDIOVASCULAR SYSTEMS CORP.,C
"Magic Leap, Inc",C
"Adaptec, Inc",C
Spansion LLC.,C
Ingersoll Rand,C
Keysight Technologies Inc.,C
The Chamberlain Group Inc,C
"CeleritiFintech Services USA, Inc.",C
"Merck & Co., Inc",C
Movimento Inc,C
Tiffany and Company,C
Konica Minolta Business Technologie,C
Banque De Montreal,C
Disney Worldwide Services,C
Tokyo Electron Software Technologie,C
"Solfice Research, Inc(Civil Maps)",C
